name,club,league,nation,playstyle,global_score,stats_pace,stats_shooting,stats_passing,stats_dribbling,stats_defending,stats_physicality,price,position,player_type,is_icon,is_hero
Jeremie Frimpong,32,19,34,,90,96,68,81,92,82,77,118000,RB,Champions League,False,False
Cristian Romero,18,13,52,,90,82,51,64,71,90,86,57000,CB,Europa League,False,False
Lautaro Martínez,131682,31,52,Finesse+Shot,90,84,89,77,88,55,86,35500,ST,IF,False,False
Alejandro Garnacho Ferreyra,11,13,52,,90,93,87,85,90,47,72,79500,LM,Europa League,False,False
Vivianne Miedema,10,2216,34,,90,87,89,77,90,42,85,29750,ST,Champions League,False,False
Lauren James,5,2216,14,Trickster,90,93,85,84,91,45,87,65000,RW,Total Rush,False,False
Morgan,116312,2221,95,Finesse+Shot,90,85,90,81,89,50,77,317750,ST,End of an Era SBC,False,False
Florian Wirtz,32,19,21,Incisive+Pass,88,81,78,87,89,50,67,13750,CAM,Normal,False,False
Lionel Messi,112893,39,52,Technical,90,84,87,90,94,36,67,235000,RW,Total Rush,False,False
Robert Lewandowski,241,53,37,Power+Header,90,80,90,83,88,46,86,140450,ST,LaLiga POTM SBC,False,False
Mohamed Salah,9,13,111,Finesse+Shot,90,90,88,84,89,47,76,146000,RW,IF,False,False
Alexandra Popp,175,2215,21,Finesse+Shot,90,83,91,80,87,54,93,35000,ST,Trailblazers,False,False
Gianluigi Donnarumma,73,16,27,Deflector,90,91,86,75,91,54,88,51500,GK,FUT Centurions,False,False
Ruud van Nistelrooy,112658,2118,34,Press+Proven,90,87,90,73,86,39,82,60000,ST,Squad Found. C.L.,False,False
Thibaut Courtois,243,53,7,Rush+Out,90,86,90,77,91,48,90,65000,GK,Track Stars,False,False
David Ginola,114605,16,18,Quick+Step,90,91,89,88,92,56,88,1030000,ST,Track Stars Hero,False,True
Sacha Boey,21,19,18,,79,82,55,66,77,78,80,650,RB,Normal,False,False
Victor Osimhen,325,68,133,Power+Shot,90,92,89,68,86,45,85,65500,ST,FC Pro,False,False
Lorenzo Insigne,111651,39,27,,78,79,77,79,81,36,44,350,LW,Normal,False,False
Exequiel Palacios,32,19,52,Intercept,90,83,81,85,90,90,79,28500,CDM,FC Pro,False,False
Ryan Gravenberch,9,13,34,Long+Ball+Pass,90,85,88,90,93,81,85,229000,CM,FC Pro,False,False
Bukayo Saka,1,13,14,Finesse+Shot,90,90,88,86,92,66,77,502800,RW,Thunderstruck SBC,False,False
Viktor Gyökeres,237,308,46,Rapid,90,93,88,75,86,43,94,36000,ST,Thunderstruck,False,False
William Saliba,1,13,18,Anticipate,90,86,42,73,77,90,88,400000,CB,Thunderstruck,False,False
Sakina Karchaoui,73,2218,18,Whipped+Pass,90,92,69,85,90,86,71,45500,LB,Thunderstruck,False,False
Patrick Vieira,112658,2118,18,Intercept,90,84,81,82,85,90,92,1200000,CM,Thunderstruck Icon,True,False
Fernando Hierro Ruiz,112658,2118,45,Bruiser,88,74,67,74,68,92,84,70500,CB,Icon,True,False
Lilian Thuram,112658,2118,18,Slide+Tackle,90,90,61,79,77,92,92,1360000,RB,Thunderstruck Icon,True,False
Guro Reiten,5,2216,36,,88,88,80,85,86,60,66,14000,LM,Normal,False,False
Irene Paredes Hernández,241,2222,45,Slide+Tackle,88,71,51,67,68,89,84,13750,CB,Normal,False,False
Christiane Endler,66,2218,55,Rush+Out,88,87,82,84,90,42,89,14000,GK,Normal,False,False
Gregor Kobel,22,19,47,Rush+Out,88,87,86,73,89,44,87,14250,GK,Normal,False,False
Paul Scholes,112658,2118,14,Incisive+Pass,88,74,86,89,78,62,80,69000,CM,Icon,True,False
David Beckham,112658,2118,14,Dead+Ball,88,80,85,92,85,66,80,0,RM,Icon,True,False
Jay-Jay Okocha,114605,13,133,Trickster,88,87,83,83,93,40,60,38750,CAM,Base Hero,False,True
Marcel Desailly,112658,2118,18,Block,88,82,51,65,66,88,88,94000,CB,Icon,True,False
Ricardo Alberto Silveira Carvalho,114605,308,38,Anticipate,88,77,56,71,73,91,82,16500,CB,Base Hero,False,True
Michael Owen,112658,2118,14,Chip+Shot,88,89,88,69,87,35,66,70000,ST,Icon,True,False
Bixente Lizarazu,114605,19,18,Slide+Tackle,88,87,59,80,82,83,82,26000,LB,Base Hero,False,True
Jari Litmanen,114605,10,17,First+Touch,88,82,87,83,83,35,65,14750,CAM,Base Hero,False,True
Pavel Nedvěd,112658,2118,12,Power+Shot,88,84,84,86,87,58,77,71000,LM,Icon,True,False
Rio Ferdinand,112658,2118,14,Anticipate,88,82,48,65,64,90,85,337000,CB,Icon,True,False
Andriy Shevchenko,112658,2118,49,Power+Shot,88,86,90,71,85,35,73,70000,ST,Icon,True,False
Steven Gerrard,112658,2118,14,Power+Shot,88,78,88,88,83,75,82,69500,CM,Icon,True,False
Juan Román Riquelme,112658,2118,52,Flair,88,71,84,90,90,33,66,69000,CAM,Icon,True,False
Rafael Márquez,114605,53,83,Slide+Tackle,88,74,65,75,74,90,88,18250,CB,Base Hero,False,True
Petr Čech,112658,2118,12,Deflector,88,86,85,76,88,54,90,78000,GK,Icon,True,False
Edwin van der Sar,112658,2118,34,Rush+Out,88,84,87,79,86,39,92,125000,GK,Icon,True,False
Wayne Rooney,112658,2118,14,Power+Shot,88,88,90,81,86,53,87,121000,ST,Icon,True,False
Javier Mascherano,114605,53,52,Slide+Tackle,88,76,55,76,75,89,86,16000,CB,Base Hero,False,True
Mario Gomez,114605,19,21,Power+Header,88,83,90,73,82,43,83,16000,ST,Base Hero,False,True
Franck Ribéry,112658,2118,18,Technical,88,89,85,85,90,37,65,217000,LM,Icon,True,False
Gheorghe Hagi,112658,2118,39,Power+Shot,88,82,86,88,88,41,64,69000,CAM,Icon,True,False
Ronald Koeman,112658,2118,34,Dead+Ball,88,76,86,85,78,88,84,69500,CB,Icon,True,False
Paulo Jorge dos Santos Futre,114605,53,38,Technical,88,93,81,80,93,37,58,41500,LW,Base Hero,False,True
